emoji,unicode,category,unicodename
✊🏼,\u270a\U0001f3fc,emojis & people,---
✊🏽,\u270a\U0001f3fd,emojis & people,---
✊🏾,\u270a\U0001f3fe,emojis & people,---
✊🏿,\u270a\U0001f3ff,emojis & people,---
🤛,\U0001f91b,emojis & people,LEFT-FACING FIST
🤛🏻,\U0001f91b\U0001f3fb,emojis & people,---
🤛🏼,\U0001f91b\U0001f3fc,emojis & people,---
🤛🏽,\U0001f91b\U0001f3fd,emojis & people,---
🤛🏾,\U0001f91b\U0001f3fe,emojis & people,---
🤛🏿,\U0001f91b\U0001f3ff,emojis & people,---
🤜,\U0001f91c,emojis & people,RIGHT-FACING FIST
🤜🏻,\U0001f91c\U0001f3fb,emojis & people,---
🤜🏼,\U0001f91c\U0001f3fc,emojis & people,---
🤜🏽,\U0001f91c\U0001f3fd,emojis & people,---
🤜🏾,\U0001f91c\U0001f3fe,emojis & people,---
🤜🏿,\U0001f91c\U0001f3ff,emojis & people,---
🫷,\U0001faf7,emojis & people,---
🫷🏻,\U0001faf7\U0001f3fb,emojis & people,---
🫷🏼,\U0001faf7\U0001f3fc,emojis & people,---
🫷🏽,\U0001faf7\U0001f3fd,emojis & people,---
🫷🏾,\U0001faf7\U0001f3fe,emojis & people,---
🫷🏿,\U0001faf7\U0001f3ff,emojis & people,---
🫸,\U0001faf8,emojis & people,---
🫸🏻,\U0001faf8\U0001f3fb,emojis & people,---
🫸🏼,\U0001faf8\U0001f3fc,emojis & people,---
🫸🏽,\U0001faf8\U0001f3fd,emojis & people,---
🫸🏾,\U0001faf8\U0001f3fe,emojis & people,---
🫸🏿,\U0001faf8\U0001f3ff,emojis & people,---
🤞,\U0001f91e,emojis & people,HAND WITH INDEX AND MIDDLE FINGERS CROSSED
🤞🏻,\U0001f91e\U0001f3fb,emojis & people,---
🤞🏼,\U0001f91e\U0001f3fc,emojis & people,---
🤞🏽,\U0001f91e\U0001f3fd,emojis & people,---
🤞🏾,\U0001f91e\U0001f3fe,emojis & people,---
🤞🏿,\U0001f91e\U0001f3ff,emojis & people,---
✌️,\u270c\ufe0f,emojis & people,---
✌🏻,\u270c\U0001f3fb,emojis & people,---
✌🏼,\u270c\U0001f3fc,emojis & people,---
✌🏽,\u270c\U0001f3fd,emojis & people,---
✌🏾,\u270c\U0001f3fe,emojis & people,---
✌🏿,\u270c\U0001f3ff,emojis & people,---
🫰,\U0001faf0,emojis & people,---
🫰🏻,\U0001faf0\U0001f3fb,emojis & people,---
🫰🏼,\U0001faf0\U0001f3fc,emojis & people,---
🫰🏽,\U0001faf0\U0001f3fd,emojis & people,---
🫰🏾,\U0001faf0\U0001f3fe,emojis & people,---
🫰🏿,\U0001faf0\U0001f3ff,emojis & people,---
🤟,\U0001f91f,emojis & people,I LOVE YOU HAND SIGN
🤟🏻,\U0001f91f\U0001f3fb,emojis & people,---
🤟🏼,\U0001f91f\U0001f3fc,emojis & people,---
🤟🏽,\U0001f91f\U0001f3fd,emojis & people,---
🤟🏾,\U0001f91f\U0001f3fe,emojis & people,---
🤟🏿,\U0001f91f\U0001f3ff,emojis & people,---
🤘,\U0001f918,emojis & people,SIGN OF THE HORNS
🤘🏻,\U0001f918\U0001f3fb,emojis & people,---
🤘🏼,\U0001f918\U0001f3fc,emojis & people,---
🤘🏽,\U0001f918\U0001f3fd,emojis & people,---
🤘🏾,\U0001f918\U0001f3fe,emojis & people,---
🤘🏿,\U0001f918\U0001f3ff,emojis & people,---
👌,\U0001f44c,emojis & people,OK HAND SIGN
👌🏻,\U0001f44c\U0001f3fb,emojis & people,---
👌🏼,\U0001f44c\U0001f3fc,emojis & people,---
👌🏽,\U0001f44c\U0001f3fd,emojis & people,---
👌🏾,\U0001f44c\U0001f3fe,emojis & people,---
👌🏿,\U0001f44c\U0001f3ff,emojis & people,---
🤌,\U0001f90c,emojis & people,PINCHED FINGERS
