emoji,unicode,category,unicodename
🏌🏻,\U0001f3cc\U0001f3fb,activities,---
🏌🏼,\U0001f3cc\U0001f3fc,activities,---
🏌🏽,\U0001f3cc\U0001f3fd,activities,---
🏌🏾,\U0001f3cc\U0001f3fe,activities,---
🏌🏿,\U0001f3cc\U0001f3ff,activities,---
🏌️‍♂️,\U0001f3cc\ufe0f\u200d\u2642\ufe0f,activities,---
🏌🏻‍♂️,\U0001f3cc\U0001f3fb\u200d\u2642\ufe0f,activities,---
🏌🏼‍♂️,\U0001f3cc\U0001f3fc\u200d\u2642\ufe0f,activities,---
🏌🏽‍♂️,\U0001f3cc\U0001f3fd\u200d\u2642\ufe0f,activities,---
🏌🏾‍♂️,\U0001f3cc\U0001f3fe\u200d\u2642\ufe0f,activities,---
🏌🏿‍♂️,\U0001f3cc\U0001f3ff\u200d\u2642\ufe0f,activities,---
🏇,\U0001f3c7,activities,HORSE RACING
🏇🏻,\U0001f3c7\U0001f3fb,activities,---
🏇🏼,\U0001f3c7\U0001f3fc,activities,---
🏇🏽,\U0001f3c7\U0001f3fd,activities,---
🏇🏾,\U0001f3c7\U0001f3fe,activities,---
🏇🏿,\U0001f3c7\U0001f3ff,activities,---
🧘‍♀️,\U0001f9d8\u200d\u2640\ufe0f,activities,---
🧘🏻‍♀️,\U0001f9d8\U0001f3fb\u200d\u2640\ufe0f,activities,---
🧘🏼‍♀️,\U0001f9d8\U0001f3fc\u200d\u2640\ufe0f,activities,---
🧘🏽‍♀️,\U0001f9d8\U0001f3fd\u200d\u2640\ufe0f,activities,---
🧘🏾‍♀️,\U0001f9d8\U0001f3fe\u200d\u2640\ufe0f,activities,---
🧘🏿‍♀️,\U0001f9d8\U0001f3ff\u200d\u2640\ufe0f,activities,---
🧘,\U0001f9d8,activities,PERSON IN LOTUS POSITION
🧘🏻,\U0001f9d8\U0001f3fb,activities,---
🧘🏼,\U0001f9d8\U0001f3fc,activities,---
🧘🏽,\U0001f9d8\U0001f3fd,activities,---
🧘🏾,\U0001f9d8\U0001f3fe,activities,---
🧘🏿,\U0001f9d8\U0001f3ff,activities,---
🧘‍♂️,\U0001f9d8\u200d\u2642\ufe0f,activities,---
🧘🏻‍♂️,\U0001f9d8\U0001f3fb\u200d\u2642\ufe0f,activities,---
🧘🏼‍♂️,\U0001f9d8\U0001f3fc\u200d\u2642\ufe0f,activities,---
🧘🏽‍♂️,\U0001f9d8\U0001f3fd\u200d\u2642\ufe0f,activities,---
🧘🏾‍♂️,\U0001f9d8\U0001f3fe\u200d\u2642\ufe0f,activities,---
🧘🏿‍♂️,\U0001f9d8\U0001f3ff\u200d\u2642\ufe0f,activities,---
🏄‍♀️,\U0001f3c4\u200d\u2640\ufe0f,activities,---
🏄🏻‍♀️,\U0001f3c4\U0001f3fb\u200d\u2640\ufe0f,activities,---
🏄🏼‍♀️,\U0001f3c4\U0001f3fc\u200d\u2640\ufe0f,activities,---
🏄🏽‍♀️,\U0001f3c4\U0001f3fd\u200d\u2640\ufe0f,activities,---
🏄🏾‍♀️,\U0001f3c4\U0001f3fe\u200d\u2640\ufe0f,activities,---
🏄🏿‍♀️,\U0001f3c4\U0001f3ff\u200d\u2640\ufe0f,activities,---
🏄,\U0001f3c4,activities,SURFER
🏄🏻,\U0001f3c4\U0001f3fb,activities,---
🏄🏼,\U0001f3c4\U0001f3fc,activities,---
🏄🏽,\U0001f3c4\U0001f3fd,activities,---
🏄🏾,\U0001f3c4\U0001f3fe,activities,---
🏄🏿,\U0001f3c4\U0001f3ff,activities,---
🏄‍♂️,\U0001f3c4\u200d\u2642\ufe0f,activities,---
🏄🏻‍♂️,\U0001f3c4\U0001f3fb\u200d\u2642\ufe0f,activities,---
🏄🏼‍♂️,\U0001f3c4\U0001f3fc\u200d\u2642\ufe0f,activities,---
🏄🏽‍♂️,\U0001f3c4\U0001f3fd\u200d\u2642\ufe0f,activities,---
🏄🏾‍♂️,\U0001f3c4\U0001f3fe\u200d\u2642\ufe0f,activities,---
🏄🏿‍♂️,\U0001f3c4\U0001f3ff\u200d\u2642\ufe0f,activities,---
🏊‍♀️,\U0001f3ca\u200d\u2640\ufe0f,activities,---
🏊🏻‍♀️,\U0001f3ca\U0001f3fb\u200d\u2640\ufe0f,activities,---
🏊🏼‍♀️,\U0001f3ca\U0001f3fc\u200d\u2640\ufe0f,activities,---
🏊🏽‍♀️,\U0001f3ca\U0001f3fd\u200d\u2640\ufe0f,activities,---
🏊🏾‍♀️,\U0001f3ca\U0001f3fe\u200d\u2640\ufe0f,activities,---
🏊🏿‍♀️,\U0001f3ca\U0001f3ff\u200d\u2640\ufe0f,activities,---
🏊,\U0001f3ca,activities,SWIMMER
🏊🏻,\U0001f3ca\U0001f3fb,activities,---
🏊🏼,\U0001f3ca\U0001f3fc,activities,---
🏊🏽,\U0001f3ca\U0001f3fd,activities,---
🏊🏾,\U0001f3ca\U0001f3fe,activities,---
🏊🏿,\U0001f3ca\U0001f3ff,activities,---
🏊‍♂️,\U0001f3ca\u200d\u2642\ufe0f,activities,---
🏊🏻‍♂️,\U0001f3ca\U0001f3fb\u200d\u2642\ufe0f,activities,---
🏊🏼‍♂️,\U0001f3ca\U0001f3fc\u200d\u2642\ufe0f,activities,---
🏊🏽‍♂️,\U0001f3ca\U0001f3fd\u200d\u2642\ufe0f,activities,---
🏊🏾‍♂️,\U0001f3ca\U0001f3fe\u200d\u2642\ufe0f,activities,---
🏊🏿‍♂️,\U0001f3ca\U0001f3ff\u200d\u2642\ufe0f,activities,---
🤽‍♀️,\U0001f93d\u200d\u2640\ufe0f,activities,---
🤽🏻‍♀️,\U0001f93d\U0001f3fb\u200d\u2640\ufe0f,activities,---
🤽🏼‍♀️,\U0001f93d\U0001f3fc\u200d\u2640\ufe0f,activities,---
🤽🏽‍♀️,\U0001f93d\U0001f3fd\u200d\u2640\ufe0f,activities,---
🤽🏾‍♀️,\U0001f93d\U0001f3fe\u200d\u2640\ufe0f,activities,---
🤽🏿‍♀️,\U0001f93d\U0001f3ff\u200d\u2640\ufe0f,activities,---
🤽,\U0001f93d,activities,WATER POLO
🤽🏻,\U0001f93d\U0001f3fb,activities,---
🤽🏼,\U0001f93d\U0001f3fc,activities,---
🤽🏽,\U0001f93d\U0001f3fd,activities,---
🤽🏾,\U0001f93d\U0001f3fe,activities,---
🤽🏿,\U0001f93d\U0001f3ff,activities,---
🤽‍♂️,\U0001f93d\u200d\u2642\ufe0f,activities,---
🤽🏻‍♂️,\U0001f93d\U0001f3fb\u200d\u2642\ufe0f,activities,---
🤽🏼‍♂️,\U0001f93d\U0001f3fc\u200d\u2642\ufe0f,activities,---
🤽🏽‍♂️,\U0001f93d\U0001f3fd\u200d\u2642\ufe0f,activities,---
🤽🏾‍♂️,\U0001f93d\U0001f3fe\u200d\u2642\ufe0f,activities,---
🤽🏿‍♂️,\U0001f93d\U0001f3ff\u200d\u2642\ufe0f,activities,---
🚣‍♀️,\U0001f6a3\u200d\u2640\ufe0f,activities,---
🚣🏻‍♀️,\U0001f6a3\U0001f3fb\u200d\u2640\ufe0f,activities,---
🚣🏼‍♀️,\U0001f6a3\U0001f3fc\u200d\u2640\ufe0f,activities,---
🚣🏽‍♀️,\U0001f6a3\U0001f3fd\u200d\u2640\ufe0f,activities,---
🚣🏾‍♀️,\U0001f6a3\U0001f3fe\u200d\u2640\ufe0f,activities,---
🚣🏿‍♀️,\U0001f6a3\U0001f3ff\u200d\u2640\ufe0f,activities,---
🚣,\U0001f6a3,activities,ROWBOAT
🚣🏻,\U0001f6a3\U0001f3fb,activities,---
🚣🏼,\U0001f6a3\U0001f3fc,activities,---
🚣🏽,\U0001f6a3\U0001f3fd,activities,---
🚣🏾,\U0001f6a3\U0001f3fe,activities,---
🚣🏿,\U0001f6a3\U0001f3ff,activities,---
🚣‍♂️,\U0001f6a3\u200d\u2642\ufe0f,activities,---
🚣🏻‍♂️,\U0001f6a3\U0001f3fb\u200d\u2642\ufe0f,activities,---
🚣🏼‍♂️,\U0001f6a3\U0001f3fc\u200d\u2642\ufe0f,activities,---
🚣🏽‍♂️,\U0001f6a3\U0001f3fd\u200d\u2642\ufe0f,activities,---
🚣🏾‍♂️,\U0001f6a3\U0001f3fe\u200d\u2642\ufe0f,activities,---
🚣🏿‍♂️,\U0001f6a3\U0001f3ff\u200d\u2642\ufe0f,activities,---
🧗‍♀️,\U0001f9d7\u200d\u2640\ufe0f,activities,---
🧗🏻‍♀️,\U0001f9d7\U0001f3fb\u200d\u2640\ufe0f,activities,---
🧗🏼‍♀️,\U0001f9d7\U0001f3fc\u200d\u2640\ufe0f,activities,---
🧗🏽‍♀️,\U0001f9d7\U0001f3fd\u200d\u2640\ufe0f,activities,---
🧗🏾‍♀️,\U0001f9d7\U0001f3fe\u200d\u2640\ufe0f,activities,---
🧗🏿‍♀️,\U0001f9d7\U0001f3ff\u200d\u2640\ufe0f,activities,---
🧗,\U0001f9d7,activities,PERSON CLIMBING
🧗🏻,\U0001f9d7\U0001f3fb,activities,---
🧗🏼,\U0001f9d7\U0001f3fc,activities,---
🧗🏽,\U0001f9d7\U0001f3fd,activities,---
🧗🏾,\U0001f9d7\U0001f3fe,activities,---
🧗🏿,\U0001f9d7\U0001f3ff,activities,---
🧗‍♂️,\U0001f9d7\u200d\u2642\ufe0f,activities,---
🧗🏻‍♂️,\U0001f9d7\U0001f3fb\u200d\u2642\ufe0f,activities,---
🧗🏼‍♂️,\U0001f9d7\U0001f3fc\u200d\u2642\ufe0f,activities,---
🧗🏽‍♂️,\U0001f9d7\U0001f3fd\u200d\u2642\ufe0f,activities,---
🧗🏾‍♂️,\U0001f9d7\U0001f3fe\u200d\u2642\ufe0f,activities,---
🧗🏿‍♂️,\U0001f9d7\U0001f3ff\u200d\u2642\ufe0f,activities,---
🚵‍♀️,\U0001f6b5\u200d\u2640\ufe0f,activities,---
🚵🏻‍♀️,\U0001f6b5\U0001f3fb\u200d\u2640\ufe0f,activities,---
🚵🏼‍♀️,\U0001f6b5\U0001f3fc\u200d\u2640\ufe0f,activities,---
🚵🏽‍♀️,\U0001f6b5\U0001f3fd\u200d\u2640\ufe0f,activities,---
🚵🏾‍♀️,\U0001f6b5\U0001f3fe\u200d\u2640\ufe0f,activities,---
🚵🏿‍♀️,\U0001f6b5\U0001f3ff\u200d\u2640\ufe0f,activities,---
🚵,\U0001f6b5,activities,MOUNTAIN BICYCLIST
🚵🏻,\U0001f6b5\U0001f3fb,activities,---
🚵🏼,\U0001f6b5\U0001f3fc,activities,---
🚵🏽,\U0001f6b5\U0001f3fd,activities,---
🚵🏾,\U0001f6b5\U0001f3fe,activities,---
🚵🏿,\U0001f6b5\U0001f3ff,activities,---
🚵‍♂️,\U0001f6b5\u200d\u2642\ufe0f,activities,---
🚵🏻‍♂️,\U0001f6b5\U0001f3fb\u200d\u2642\ufe0f,activities,---
🚵🏼‍♂️,\U0001f6b5\U0001f3fc\u200d\u2642\ufe0f,activities,---
🚵🏽‍♂️,\U0001f6b5\U0001f3fd\u200d\u2642\ufe0f,activities,---
🚵🏾‍♂️,\U0001f6b5\U0001f3fe\u200d\u2642\ufe0f,activities,---
🚵🏿‍♂️,\U0001f6b5\U0001f3ff\u200d\u2642\ufe0f,activities,---
🚴‍♀️,\U0001f6b4\u200d\u2640\ufe0f,activities,---
🚴🏻‍♀️,\U0001f6b4\U0001f3fb\u200d\u2640\ufe0f,activities,---
🚴🏼‍♀️,\U0001f6b4\U0001f3fc\u200d\u2640\ufe0f,activities,---
🚴🏽‍♀️,\U0001f6b4\U0001f3fd\u200d\u2640\ufe0f,activities,---
🚴🏾‍♀️,\U0001f6b4\U0001f3fe\u200d\u2640\ufe0f,activities,---
🚴🏿‍♀️,\U0001f6b4\U0001f3ff\u200d\u2640\ufe0f,activities,---
🚴,\U0001f6b4,activities,BICYCLIST
🚴🏻,\U0001f6b4\U0001f3fb,activities,---
🚴🏼,\U0001f6b4\U0001f3fc,activities,---
🚴🏽,\U0001f6b4\U0001f3fd,activities,---
🚴🏾,\U0001f6b4\U0001f3fe,activities,---
🚴🏿,\U0001f6b4\U0001f3ff,activities,---
🚴‍♂️,\U0001f6b4\u200d\u2642\ufe0f,activities,---
🚴🏻‍♂️,\U0001f6b4\U0001f3fb\u200d\u2642\ufe0f,activities,---
🚴🏼‍♂️,\U0001f6b4\U0001f3fc\u200d\u2642\ufe0f,activities,---
🚴🏽‍♂️,\U0001f6b4\U0001f3fd\u200d\u2642\ufe0f,activities,---
🚴🏾‍♂️,\U0001f6b4\U0001f3fe\u200d\u2642\ufe0f,activities,---
🚴🏿‍♂️,\U0001f6b4\U0001f3ff\u200d\u2642\ufe0f,activities,---
🏆,\U0001f3c6,activities,TROPHY
🥇,\U0001f947,activities,FIRST PLACE MEDAL
🥈,\U0001f948,activities,SECOND PLACE MEDAL
🥉,\U0001f949,activities,THIRD PLACE MEDAL
🏅,\U0001f3c5,activities,SPORTS MEDAL
🎖️,\U0001f396\ufe0f,activities,---
🏵️,\U0001f3f5\ufe0f,activities,---
🎗️,\U0001f397\ufe0f,activities,---
🎫,\U0001f3ab,activities,TICKET
🎟️,\U0001f39f\ufe0f,activities,---
🎪,\U0001f3aa,activities,CIRCUS TENT
🤹‍♀️,\U0001f939\u200d\u2640\ufe0f,activities,---
🤹🏻‍♀️,\U0001f939\U0001f3fb\u200d\u2640\ufe0f,activities,---
🤹🏼‍♀️,\U0001f939\U0001f3fc\u200d\u2640\ufe0f,activities,---
🤹🏽‍♀️,\U0001f939\U0001f3fd\u200d\u2640\ufe0f,activities,---
🤹🏾‍♀️,\U0001f939\U0001f3fe\u200d\u2640\ufe0f,activities,---
🤹🏿‍♀️,\U0001f939\U0001f3ff\u200d\u2640\ufe0f,activities,---
🤹‍♂️,\U0001f939\u200d\u2642\ufe0f,activities,---
🤹🏻‍♂️,\U0001f939\U0001f3fb\u200d\u2642\ufe0f,activities,---
🤹🏼‍♂️,\U0001f939\U0001f3fc\u200d\u2642\ufe0f,activities,---
🤹🏽‍♂️,\U0001f939\U0001f3fd\u200d\u2642\ufe0f,activities,---
🤹🏾‍♂️,\U0001f939\U0001f3fe\u200d\u2642\ufe0f,activities,---
🤹🏿‍♂️,\U0001f939\U0001f3ff\u200d\u2642\ufe0f,activities,---
🎭,\U0001f3ad,activities,PERFORMING ARTS
🩰,\U0001fa70,activities,BALLET SHOES
🎨,\U0001f3a8,activities,ARTIST PALETTE
🎬,\U0001f3ac,activities,CLAPPER BOARD
🎤,\U0001f3a4,activities,MICROPHONE
🎧,\U0001f3a7,activities,HEADPHONE
🎼,\U0001f3bc,activities,MUSICAL SCORE
🎹,\U0001f3b9,activities,MUSICAL KEYBOARD
🪇,\U0001fa87,activities,---
🥁,\U0001f941,activities,DRUM WITH DRUMSTICKS
🪘,\U0001fa98,activities,LONG DRUM
🎷,\U0001f3b7,activities,SAXOPHONE
🎺,\U0001f3ba,activities,TRUMPET
🪗,\U0001fa97,activities,ACCORDION
🎸,\U0001f3b8,activities,GUITAR
🪕,\U0001fa95,activities,BANJO
🎻,\U0001f3bb,activities,VIOLIN
🪈,\U0001fa88,activities,---
🎲,\U0001f3b2,activities,GAME DIE
♟️,\u265f\ufe0f,activities,---
🎯,\U0001f3af,activities,DIRECT HIT
🎳,\U0001f3b3,activities,BOWLING
🎮,\U0001f3ae,activities,VIDEO GAME
🎰,\U0001f3b0,activities,SLOT MACHINE
🧩,\U0001f9e9,activities,JIGSAW PUZZLE PIECE
🚗,\U0001f697,activities,AUTOMOBILE
🚕,\U0001f695,activities,TAXI
🚙,\U0001f699,activities,RECREATIONAL VEHICLE
🚌,\U0001f68c,activities,BUS
🚎,\U0001f68e,activities,TROLLEYBUS
🏎️,\U0001f3ce\ufe0f,activities,---
🚓,\U0001f693,activities,POLICE CAR
🚑,\U0001f691,activities,AMBULANCE
🚒,\U0001f692,activities,FIRE ENGINE
🚐,\U0001f690,activities,MINIBUS
🛻,\U0001f6fb,activities,PICKUP TRUCK
🚚,\U0001f69a,activities,DELIVERY TRUCK
🚛,\U0001f69b,activities,ARTICULATED LORRY
🚜,\U0001f69c,activities,TRACTOR
🦯,\U0001f9af,activities,PROBING CANE
🦽,\U0001f9bd,activities,MANUAL WHEELCHAIR
🦼,\U0001f9bc,activities,MOTORIZED WHEELCHAIR
🩼,\U0001fa7c,activities,---
🛴,\U0001f6f4,activities,SCOOTER
🚲,\U0001f6b2,activities,BICYCLE
🛵,\U0001f6f5,activities,MOTOR SCOOTER
🏍️,\U0001f3cd\ufe0f,activities,---
🛺,\U0001f6fa,activities,AUTO RICKSHAW
🛞,\U0001f6de,activities,---
🚨,\U0001f6a8,activities,POLICE CARS REVOLVING LIGHT
🚔,\U0001f694,activities,ONCOMING POLICE CAR
🚍,\U0001f68d,activities,ONCOMING BUS
🚘,\U0001f698,activities,ONCOMING AUTOMOBILE
🚖,\U0001f696,activities,ONCOMING TAXI
🚡,\U0001f6a1,activities,AERIAL TRAMWAY
🚠,\U0001f6a0,activities,MOUNTAIN CABLEWAY
🚟,\U0001f69f,activities,SUSPENSION RAILWAY
🚃,\U0001f683,activities,RAILWAY CAR
🚋,\U0001f68b,activities,TRAM CAR
🚞,\U0001f69e,activities,MOUNTAIN RAILWAY
🚝,\U0001f69d,activities,MONORAIL
🚄,\U0001f684,activities,HIGH-SPEED TRAIN
🚅,\U0001f685,activities,HIGH-SPEED TRAIN WITH BULLET NOSE
🚈,\U0001f688,activities,LIGHT RAIL
🚂,\U0001f682,activities,STEAM LOCOMOTIVE
🚆,\U0001f686,activities,TRAIN
🚇,\U0001f687,activities,METRO
🚊,\U0001f68a,activities,TRAM
🚉,\U0001f689,activities,STATION
✈️,\u2708\ufe0f,activities,---
🛫,\U0001f6eb,activities,AIRPLANE DEPARTURE
🛬,\U0001f6ec,activities,AIRPLANE ARRIVING
🛩️,\U0001f6e9\ufe0f,activities,---
💺,\U0001f4ba,travel & places,SEAT
🛰️,\U0001f6f0\ufe0f,travel & places,---
🚀,\U0001f680,travel & places,ROCKET
🛸,\U0001f6f8,travel & places,FLYING SAUCER
🚁,\U0001f681,travel & places,HELICOPTER
🛶,\U0001f6f6,travel & places,CANOE
⛵,\u26f5,travel & places,SAILBOAT
🚤,\U0001f6a4,travel & places,SPEEDBOAT
🛥️,\U0001f6e5\ufe0f,travel & places,---
🛳️,\U0001f6f3\ufe0f,travel & places,---
⛴️,\u26f4\ufe0f,travel & places,---
🚢,\U0001f6a2,travel & places,SHIP
🛟,\U0001f6df,travel & places,---
⚓,\u2693,travel & places,ANCHOR
🪝,\U0001fa9d,travel & places,HOOK
⛽,\u26fd,travel & places,FUEL PUMP
🚧,\U0001f6a7,travel & places,CONSTRUCTION SIGN
🚦,\U0001f6a6,travel & places,VERTICAL TRAFFIC LIGHT
🚥,\U0001f6a5,travel & places,HORIZONTAL TRAFFIC LIGHT
🚏,\U0001f68f,travel & places,BUS STOP
🗺️,\U0001f5fa\ufe0f,travel & places,---
🗿,\U0001f5ff,travel & places,MOYAI
🗽,\U0001f5fd,travel & places,STATUE OF LIBERTY
🗼,\U0001f5fc,travel & places,TOKYO TOWER
🏰,\U0001f3f0,travel & places,EUROPEAN CASTLE
🏯,\U0001f3ef,travel & places,JAPANESE CASTLE
🏟️,\U0001f3df\ufe0f,travel & places,---
🎡,\U0001f3a1,travel & places,FERRIS WHEEL
🎢,\U0001f3a2,travel & places,ROLLER COASTER
🎠,\U0001f3a0,travel & places,CAROUSEL HORSE
⛲,\u26f2,travel & places,FOUNTAIN
⛱️,\u26f1\ufe0f,travel & places,---
🏖️,\U0001f3d6\ufe0f,travel & places,---
🏝️,\U0001f3dd\ufe0f,travel & places,---
🏜️,\U0001f3dc\ufe0f,travel & places,---
🌋,\U0001f30b,travel & places,VOLCANO
⛰️,\u26f0\ufe0f,travel & places,---
🏔️,\U0001f3d4\ufe0f,travel & places,---
🗻,\U0001f5fb,travel & places,MOUNT FUJI
🏕️,\U0001f3d5\ufe0f,travel & places,---
⛺,\u26fa,travel & places,TENT
🛖,\U0001f6d6,travel & places,HUT
🏠,\U0001f3e0,travel & places,HOUSE BUILDING
🏡,\U0001f3e1,travel & places,HOUSE WITH GARDEN
🏘️,\U0001f3d8\ufe0f,travel & places,---
🏚️,\U0001f3da\ufe0f,travel & places,---
🏗️,\U0001f3d7\ufe0f,travel & places,---
🏭,\U0001f3ed,travel & places,FACTORY
🏢,\U0001f3e2,travel & places,OFFICE BUILDING
🏬,\U0001f3ec,travel & places,DEPARTMENT STORE
🏣,\U0001f3e3,travel & places,JAPANESE POST OFFICE
🏤,\U0001f3e4,travel & places,EUROPEAN POST OFFICE
🏥,\U0001f3e5,travel & places,HOSPITAL
🏦,\U0001f3e6,travel & places,BANK
🏨,\U0001f3e8,travel & places,HOTEL
🏪,\U0001f3ea,travel & places,CONVENIENCE STORE
🏫,\U0001f3eb,travel & places,SCHOOL
🏩,\U0001f3e9,travel & places,LOVE HOTEL
💒,\U0001f492,travel & places,WEDDING
🏛️,\U0001f3db\ufe0f,travel & places,---
⛪,\u26ea,travel & places,CHURCH
🕌,\U0001f54c,travel & places,MOSQUE
🕍,\U0001f54d,travel & places,SYNAGOGUE
🛕,\U0001f6d5,travel & places,HINDU TEMPLE
🕋,\U0001f54b,travel & places,KAABA
⛩️,\u26e9\ufe0f,travel & places,---
🛤️,\U0001f6e4\ufe0f,travel & places,---
🛣️,\U0001f6e3\ufe0f,travel & places,---
🗾,\U0001f5fe,travel & places,SILHOUETTE OF JAPAN
🎑,\U0001f391,travel & places,MOON VIEWING CEREMONY
🏞️,\U0001f3de\ufe0f,travel & places,---
🌅,\U0001f305,travel & places,SUNRISE
🌄,\U0001f304,travel & places,SUNRISE OVER MOUNTAINS
🌠,\U0001f320,travel & places,SHOOTING STAR
🎇,\U0001f387,travel & places,FIREWORK SPARKLER
🎆,\U0001f386,travel & places,FIREWORKS
🌇,\U0001f307,travel & places,SUNSET OVER BUILDINGS
🌆,\U0001f306,travel & places,CITYSCAPE AT DUSK
🏙️,\U0001f3d9\ufe0f,travel & places,---
🌃,\U0001f303,travel & places,NIGHT WITH STARS
🌌,\U0001f30c,travel & places,MILKY WAY
🌉,\U0001f309,travel & places,BRIDGE AT NIGHT
🌁,\U0001f301,travel & places,FOGGY
⌚,\u231a,objects,WATCH
📱,\U0001f4f1,objects,MOBILE PHONE
📲,\U0001f4f2,objects,MOBILE PHONE WITH RIGHTWARDS ARROW AT LEFT
💻,\U0001f4bb,objects,PERSONAL COMPUTER
⌨️,\u2328\ufe0f,objects,---
🖥️,\U0001f5a5\ufe0f,objects,---
🖨️,\U0001f5a8\ufe0f,objects,---
🖱️,\U0001f5b1\ufe0f,objects,---
🖲️,\U0001f5b2\ufe0f,objects,---
🕹️,\U0001f579\ufe0f,objects,---
🗜️,\U0001f5dc\ufe0f,objects,---
💽,\U0001f4bd,objects,MINIDISC
💾,\U0001f4be,objects,FLOPPY DISK
💿,\U0001f4bf,objects,OPTICAL DISC
📀,\U0001f4c0,objects,DVD
📼,\U0001f4fc,objects,VIDEOCASSETTE
📷,\U0001f4f7,objects,CAMERA
📸,\U0001f4f8,objects,CAMERA WITH FLASH
📹,\U0001f4f9,objects,VIDEO CAMERA
🎥,\U0001f3a5,objects,MOVIE CAMERA
📽️,\U0001f4fd\ufe0f,objects,---
🎞️,\U0001f39e\ufe0f,objects,---
📞,\U0001f4de,objects,TELEPHONE RECEIVER
☎️,\u260e\ufe0f,objects,---
📟,\U0001f4df,objects,PAGER
📠,\U0001f4e0,objects,FAX MACHINE
📺,\U0001f4fa,objects,TELEVISION
📻,\U0001f4fb,objects,RADIO
🎙️,\U0001f399\ufe0f,objects,---
🎚️,\U0001f39a\ufe0f,objects,---
🎛️,\U0001f39b\ufe0f,objects,---
🧭,\U0001f9ed,objects,COMPASS
⏱️,\u23f1\ufe0f,objects,---
⏲️,\u23f2\ufe0f,objects,---
⏰,\u23f0,objects,ALARM CLOCK
🕰️,\U0001f570\ufe0f,objects,---
⌛,\u231b,objects,HOURGLASS
⏳,\u23f3,objects,HOURGLASS WITH FLOWING SAND
📡,\U0001f4e1,objects,SATELLITE ANTENNA
🔋,\U0001f50b,objects,BATTERY
🪫,\U0001faab,objects,---
🔌,\U0001f50c,objects,ELECTRIC PLUG
💡,\U0001f4a1,objects,ELECTRIC LIGHT BULB
🔦,\U0001f526,objects,ELECTRIC TORCH
🕯️,\U0001f56f\ufe0f,objects,---
🪔,\U0001fa94,objects,DIYA LAMP
🧯,\U0001f9ef,objects,FIRE EXTINGUISHER
🛢️,\U0001f6e2\ufe0f,objects,---
💸,\U0001f4b8,objects,MONEY WITH WINGS
💵,\U0001f4b5,objects,BANKNOTE WITH DOLLAR SIGN
💴,\U0001f4b4,objects,BANKNOTE WITH YEN SIGN
💶,\U0001f4b6,objects,BANKNOTE WITH EURO SIGN
💷,\U0001f4b7,objects,BANKNOTE WITH POUND SIGN
🪙,\U0001fa99,objects,COIN
💰,\U0001f4b0,objects,MONEY BAG
💳,\U0001f4b3,objects,CREDIT CARD
🪪,\U0001faaa,objects,---
💎,\U0001f48e,objects,GEM STONE
⚖️,\u2696\ufe0f,objects,---
🪜,\U0001fa9c,objects,LADDER
🧰,\U0001f9f0,objects,TOOLBOX
🪛,\U0001fa9b,objects,SCREWDRIVER
🔧,\U0001f527,objects,WRENCH
🔨,\U0001f528,objects,HAMMER
⚒️,\u2692\ufe0f,objects,---
🛠️,\U0001f6e0\ufe0f,objects,---
⛏️,\u26cf\ufe0f,objects,---
🪚,\U0001fa9a,objects,CARPENTRY SAW
🔩,\U0001f529,objects,NUT AND BOLT
⚙️,\u2699\ufe0f,objects,---
🪤,\U0001faa4,objects,MOUSE TRAP
🧱,\U0001f9f1,objects,BRICK
⛓️,\u26d3\ufe0f,objects,---
🧲,\U0001f9f2,objects,MAGNET
🔫,\U0001f52b,objects,PISTOL
💣,\U0001f4a3,objects,BOMB
🧨,\U0001f9e8,objects,FIRECRACKER
🪓,\U0001fa93,objects,AXE
🔪,\U0001f52a,objects,HOCHO
🗡️,\U0001f5e1\ufe0f,objects,---
⚔️,\u2694\ufe0f,objects,---
🛡️,\U0001f6e1\ufe0f,objects,---
🚬,\U0001f6ac,objects,SMOKING SYMBOL
⚰️,\u26b0\ufe0f,objects,---
🪦,\U0001faa6,objects,HEADSTONE
⚱️,\u26b1\ufe0f,objects,---
🏺,\U0001f3fa,objects,AMPHORA
🔮,\U0001f52e,objects,CRYSTAL BALL
📿,\U0001f4ff,objects,PRAYER BEADS
🧿,\U0001f9ff,objects,NAZAR AMULET
🪬,\U0001faac,objects,---
💈,\U0001f488,objects,BARBER POLE
⚗️,\u2697\ufe0f,objects,---
🔭,\U0001f52d,objects,TELESCOPE
🔬,\U0001f52c,objects,MICROSCOPE
🕳️,\U0001f573\ufe0f,objects,---
🩻,\U0001fa7b,objects,---
🩹,\U0001fa79,objects,ADHESIVE BANDAGE
🩺,\U0001fa7a,objects,STETHOSCOPE
💊,\U0001f48a,objects,PILL
💉,\U0001f489,objects,SYRINGE
🩸,\U0001fa78,objects,DROP OF BLOOD
🧬,\U0001f9ec,objects,DNA DOUBLE HELIX
🦠,\U0001f9a0,objects,MICROBE
🧫,\U0001f9eb,objects,PETRI DISH
🧪,\U0001f9ea,objects,TEST TUBE
🌡️,\U0001f321\ufe0f,objects,---
🧹,\U0001f9f9,objects,BROOM
🪠,\U0001faa0,objects,PLUNGER
🧺,\U0001f9fa,objects,BASKET
🧻,\U0001f9fb,objects,ROLL OF PAPER
🚽,\U0001f6bd,objects,TOILET
🚰,\U0001f6b0,objects,POTABLE WATER SYMBOL
🚿,\U0001f6bf,objects,SHOWER
🛁,\U0001f6c1,objects,BATHTUB
